A4_2_11;You consider the process of a mutual agreement procedure with regard to transfer pricing issues of your group/firm to be fair.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
Questions Part: V. Verbesserungen im Bereich von Verrechnungspreisen;"Question 20: A5_1_XX
Question 21: A5_2_XX
Question 22: A5_3_XX";;;;;;;;
A5_1_01;The adoption of simplifications, e.g. by specifying standard returns for distributors in the respective double tax treaties, would reduce compliance costs.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_1_02;The adoption of simplifications, e.g. by specifying standard returns for distributors in the OECD transferpricing guidelines, would reduce compliance costs.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_1_03;The adoption of simplifications, e.g. by specifying standard returns for distributors in German tax law, would reduce compliance costs.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_1_04;The adoption of simplifications, e.g. by specifying standard returns for distributors in a multilateral convention, would reduce compliance costs.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_2_01;Before a transfer price correction is made, the German tax authorities should inform the foreign authorities by means of an exchange of information.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_2_02;Transfer pricing issues should primarily be examined jointly with other foreign tax authorities in order to reduce compliance costs.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_3_01;The automatic exchange of master files between tax authorities worldwide could help to reduce your compliance effort.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_3_02;"A ""transfer pricing"" annex with standardized questions that enable risk management on the part of the administration could help to reduce your compliance costs.";"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_3_03;The anonymized publication of transfer pricing cases that have been negotiated in a (preliminary) mutual agreement procedure could help to reduce your compliance costs.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_3_04;Involving an independent mediator before a transfer price correction threatened during a tax audit is included in the final report could help to reduce your compliance costs.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_3_05;The establishment of uniform, internationally coordinated and standardized transfer pricing documentation could help to reduce your compliance costs.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_3_06;The establishment of an information center for transfer pricing by the administration to discuss issues without being legally bound could help to reduce your compliance costs.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_3_07;The provision of a globally publicly accessible database with company-relevant data could help to reduce your compliance costs.;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
A5_3_08;Contribute to reducing your compliance costs by providing a globally publicly accessible database study with bandwidths for various functionalities (e.g. production, sales).;"10-point Likert scale from 0 (fully disagree) to 1 (agree); no answer";;;;;;;
